id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
1619,Isopropyl Acetate,,2.90 g/100 mL,102.132,0.888g/cm3,C5H10O2,,Acetic acid isopropyl esterISO-PROPYLE ACETATEIso-Propyl Acetate2-Acetoxypropanepropan-2-yl acetateIPAC,
1620,Isopropyl Alcohol,,miscible,60.095,0.795g/cm3,C3H8O,,IPAIsopropylalcoholisopropanol anhydrous2-PROPANOL ULTRA RESI-ANALYZEDisopropanol molecular biologyIsopropyl AlcoholPropan-2-ol-SPECIFIED2-Propanoliso propyl alcoholpropan-1-ol,
1621,Isopropyl Arachidate,,,,,,,,
1622,Isopropyl Behenate,,,,,,,,
1623,Isopropyl Benzoate,,,164.201,1.021g/cm3,C10H12O2,,BenzoicacidisoprpylesterBenzoic acid isopropyl esterpropan-2-yl benzoate,
1624,Isopropyl Citrate,,,234.2,,C9H14O7,,,
1625,Isopropyl Hydroxycetyl Ether,,,,,,,,
1626,Isopropyl Hydroxystearate,,,,,,,,
1627,Isopropyl Isostearate,,,326.56,0.8760 (rough estimate),C21H42O2,,"ISOPROPYL ISOSTEARATEisopropyl isodecanoateEinecs 250-651-11-methylethylisooctadecanoate2-PropylisooctadecanoateIsooctadecanoicacid,1-methylethylester,Isostearicacid,isopropylester,nikkolipis",
1628,Isopropyl Laurate,,,242.4,0.8536,C15H30O2,,"ISOPROPYL LAURATE1-MethylethyldodecanoateDodecanoic acid, 1-methylethyl ester,Dodecanoicacid",
1629,Isopropyl Linoleate,,,322.53,,C21H38O2,,,
1630,Isopropyl Methoxycinnamate,,,,,,,,
1631,Isopropyl Myristate,,,270.45,0.864g/cm3,C17H34O2,,EstergelTetradecanoic acid 1-methylethyl esterpropan-2-yl tetradecanoateIPM,
1632,Isopropyl Oleate,,,324.541,0.87g/cm3,C21H40O2,,"1-Methylethyl-9-octadecenoate9-Octadecenoic acid, 1-methylethyl ester,1-methylethyl (9Z)-octadec-9-enoate",
1633,Isopropyl Palmitate,,,325.4,0.862g/cm3,C16H27N3O4,,Palmitic acid isopropyl esterHexadecanoic acid isopropyl esterpropan-2-yl hexadecanoateIPP,
1634,Isopropyl Ricinoleate,,,,,,,,
1635,Isopropyl Sorbate,,,,,,,,
1636,Isopropyl Stearate,,,326.557,0.861g/cm3,C21H42O2,,"Isopropyl stearate1-Methylethyl octadecanoateOctadecanoic acid, 1-methylethyl ester,4-02-00-01219 (Beilstein Handbook Reference)BRN 1791443UNII-43253ZW1MZWickenol 127Stearic acid, isopropyl ester,propan-2-yl octadecanoate",
1637,Isopropyl Thioglycolate,,,134.2,,C5H10O2S,,,
1638,Isopropyl Titanium Triisostearate,,,3481.76,"0,95 g/cm3",C228H436O16Ti,,"ISOPROPYL TITANIUM TRIISOSTEARATEtris(isooctadecanoato-O)(2-propanolato)-Titaniumtris(isooctadecanoato-O)(propan-2-olato)titaniumSERICITE ( MICA)Titanium, tris(isooctadecanoato-.kappa.O)(2-propanolato)-,TITANIUMCOMPOUNDIsopropyl-triisostearyl titanateTitanium, tris(isooctadecanoato-O)(2-propanolato)-,",
1639,Isopropyl Titanium Triisostearate,,,3481.76,"0,95 g/cm3",C228H436O16Ti,,"ISOPROPYL TITANIUM TRIISOSTEARATEtris(isooctadecanoato-O)(2-propanolato)-Titaniumtris(isooctadecanoato-O)(propan-2-olato)titaniumSERICITE ( MICA)Titanium, tris(isooctadecanoato-.kappa.O)(2-propanolato)-,TITANIUMCOMPOUNDIsopropyl-triisostearyl titanateTitanium, tris(isooctadecanoato-O)(2-propanolato)-,",
1640,Isopropyl Titanium Triisostearate,,,3481.76,"0,95 g/cm3",C228H436O16Ti,,"ISOPROPYL TITANIUM TRIISOSTEARATEtris(isooctadecanoato-O)(2-propanolato)-Titaniumtris(isooctadecanoato-O)(propan-2-olato)titaniumSERICITE ( MICA)Titanium, tris(isooctadecanoato-.kappa.O)(2-propanolato)-,TITANIUMCOMPOUNDIsopropyl-triisostearyl titanateTitanium, tris(isooctadecanoato-O)(2-propanolato)-,",
1641,Isopropylamine,,soluble,102.61,0.69,C3H2D7N,,2-Aminopropaneiso-Propyl-d7-aminePropyldamineatomDmonoisopropylamineMIPA,
1642,Isopropylbenzyl Salicylate,,,,,,,,
1643,Isopropylparaben,,,180.2,1.132g/cm3,C10H12O3,,Isopropyl 4-hydroxybenzoate4-Hydroxybenzoic acid isopropyl ester4-Hydroxybenzoic acid isopropylesterpropan-2-yl 4-hydroxybenzoateIsopropyl p-hydroxybenzoateIsopropylparaben,
1644,Isopropylphenylbutanal,,,190.28,,C13H18O,,,
1645,Isoquercitrin,,,464.1,1.87g/cm3,C21H20O12,,"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucopyranoside,4H-1-benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)-5,7-dihydroxy-,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-galactopyranoside,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucofuranoside,isoquercitrinIsoquercetinIsoquercitroside",
1646,Isoquercitrin,,,464.1,1.87g/cm3,C21H20O12,,"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucopyranoside,4H-1-benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)-5,7-dihydroxy-,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-galactopyranoside,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucofuranoside,isoquercitrinIsoquercetinIsoquercitroside",
1647,Isoquercitrin,,,464.1,1.87g/cm3,C21H20O12,,"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucopyranoside,4H-1-benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)-5,7-dihydroxy-,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-galactopyranoside,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucofuranoside,isoquercitrinIsoquercetinIsoquercitroside",
1648,Isoquercitrin,,,464.1,1.87g/cm3,C21H20O12,,"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucopyranoside,4H-1-benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)-5,7-dihydroxy-,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-galactopyranoside,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucofuranoside,isoquercitrinIsoquercetinIsoquercitroside",
1649,Isoquercitrin,,,464.1,1.87g/cm3,C21H20O12,,"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucopyranoside,4H-1-benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)-5,7-dihydroxy-,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-galactopyranoside,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucofuranoside,isoquercitrinIsoquercetinIsoquercitroside",
1650,Isoquercitrin,,,464.1,1.87g/cm3,C21H20O12,,"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucopyranoside,4H-1-benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)-5,7-dihydroxy-,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-galactopyranoside,2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucofuranoside,isoquercitrinIsoquercetinIsoquercitroside",
1651,Isosorbide Laurate,,,,,,,,
1652,Isostearamide Dea,,,,,,,,
1653,Isostearamidopropyl Betaine,,,,,,,,
1654,Isostearamidopropyl Dimethylamine,,,,,,,,
1655,Isostearamidopropyl Dimethylamine Gluconate,,,,,,,,
1656,Isostearamidopropyl Dimethylamine Glycolate,,,,,,,,
1657,Isostearamidopropyl Dimethylamine Lactate,,,,,,,,
1658,Isostearamidopropyl Dimethylamine Lactate,,,,,,,,
1659,Isostearamidopropyl Epoxypropyl Dimonium Chloride,,,,,,,,
1660,Isostearamidopropyl Epoxypropylmorpholinium Chloride,,,,,,,,
1661,Isostearamidopropyl Ethyldimonium Ethosulfate,,,,,,,,
1662,Isostearamidopropyl Ethylmorpholinium Ethosulfate,,,,,,,,
1663,Isostearamidopropyl Laurylacetodimonium Chloride,,,,,,,,
1664,Isostearamidopropyl Morpholine,,,,,,,,
1665,Isostearamidopropyl Morpholine Lactate,,,,,,,,
1666,Isostearamidopropyl Morpholine Oxide,,,,,,,,
1667,Isostearamidopropyl Pg-Dimonium Chloride,,,,,,,,
1668,Isostearamidopropylamine Oxide,,,,,,,,
1669,Isostearaminopropalkonium Chloride,,,,,,,,
1670,Isosteareth-2,,,,,,,,
1671,Isosteareth-3,,,,,,,,
1672,Isosteareth-10,,,,,,,,
1673,Isosteareth-12,,,,,,,,
1674,Isosteareth-20,,,,,,,,
1675,Isosteareth-22,,,,,,,,
1676,Isosteareth-50,,,,,,,,
1677,Isostearic Acid,,,284.48,0.887g/cm3,C18H36O2,,16-methylheptadecanoic acidIsooctadecanoic acid,
1678,Isostearoyl Hydrolyzed Collagen,,,,,,,,
1679,Isostearoyl Pg-Trimonium Chloride,,,,,,,,
1680,Isostearyl Alcohol,,,270.49,0.836g/cm3,C18H38O,,Isostearyl Alcohol = Jarcol I-18CG16-methylheptadecan-1-olIsooctadecanolIsostearyl Alcohol= Jarcol I-18EX,
1681,Isostearyl Behenate,,,,,,,,
1682,Isostearyl Benzoate,,,,,,,,
1683,Isostearyl Benzylimidonium Chloride,,,,,,,,
1684,Isostearyl Diglyceryl Succinate,,,,,,,,
1685,Isostearyl Ethyldimonium Chloride,,,,,,,,
1686,Isostearyl Ethylhexanoate,,,,,,,,
1687,Isostearyl Glyceryl Pentaerythrityl Ether,,,,,,,,
1688,Isostearyl Hydroxyethyl Imidazoline,,,,,,,,
1689,Isostearyl Isononanoate,,,,,,,,
1690,Isostearyl Isostearate,,,,,,,,
1691,Isostearyl Lactate,,,,,,,,
1692,Isostearyl Laurate,,,,,,,,
1693,Isostearyl Laurdimonium Chloride,,,,,,,,
1694,Isostearyl Myristate,,,,,,,,
1695,Isostearyl Neopentanoate,,,,,,,,
1696,Isostearyl Palmitate,,,,,,,,
1697,Isostearyl Stearoyl Stearate,,,,,,,,
1698,Isotridecyl Isononanoate,,,,,,,,
1699,Isotridecyl Myristate,,,,,,,,
1700,Kaolin,,,294.19,,Al2Si2O9H42 H2O,,Aluminum silicate dihydrateAluminum silicate (hydrated)Aluminum silicate hydroxideBolus albaChina clayPorcelain clayCalcined Kaolin,
1701,Ketoglutaric Acid,,,,,,,,
1702,Kinetin,,,215.21,,C10H9N5O,,"6-(Furfurylamino)purineAdenine, N-furfuryl-,FAPFuranmethanamine, N-1H-purin-6-yl-,FurfuryladenineKinetinN-(2-furanylmethyl)-1H-Purin-6-amineN6-FurfuryladeninePurin-6-amine, N-(2-furanylmethyl)-,6-ktN-(furan-2-ylmethyl)-5H-purin-6-amineN-(furan-2-ylmethyl)-7H-purin-6-amine hydrochlorideKinetin Hydrochloride",
1703,Kojic Acid,,SOLUBLE,142.11,,C6H6O4,,5-Hydroxy-2-(hydroxymethyl)-4H-pyran-4-one5-Hydroxy-2-(hydroxymethyl)-4-pyrone5-Hydroxy-2-hydroxymethyl-4-pyrone,
1704,Kojic Dipalmitate,,,618.93,0.99g/cm3,C38H66O6,,2-Palmitoyloxymethyl-5-palmitoyloxy-pyrone2-Palmitoyloxymethyl-5-palmitoyloxy-gamma-pyroneKAD[6-(hexadecanoyloxymethyl)-4-oxo-pyran-3-yl] hexadecanoateKojic Dipalmitate,
1705,Laccaic Acid,,,1887.45298,1.4363 (rough estimate),C91H62N2O44,,Shellac red colorRed LacfroM LaccaLaccaic Acidlac dye redPurple sweet potato pigmentWater-soluble shellac redc.i.75450,
1706,Lactamide Mea,,,,,,,,
1707,Lactamidopropyl Trimonium Chloride,,,,,,,,
1708,Lactic Acid,,42 g/L (25???),146.184,1.005g/cm3,C7H14O3,,2-Propanoic AcidButyl 2-hydroxypropanoateButyl alpha-HydroxypropionateButyl LactateLactic Acid Butyl Esterbutyl (2R)-2-hydroxypropanoatebutyl (2S)-2-hydroxypropanoate(-)-butyl L-lactaten-Butyl (S)-(-)-2-hydroxypropionateL-Lactic acid n-butyl ester(R)-(-)-ButyllactatButyl L-Lactate,
1709,Lactitol,,,362.33 (344.31anhy),,C12H26O12,,D-lactite monohydrateLactitolmonohydrateLACTITOL H2OLACTITOL MONOHYDRATED-LACTITOL MONOHYDRATEBETA-D-GALACTOPYRANOSYL(1->4)-D-GLUCIDOL MONOHYDRATE,
1710,Lactoferrin,,,565.72,1.195??0.06 g/cm3(Predicted),C27H47N7O6,,"JSTX-3JORO SPIDER TOXINJORO-SPIDER-TOXIN, [125I],JORO SPIDER TOXIN JSTX-3N1-(5-(3-(3-(4-Aminobutylamino)propylamino)propanamido)pentyl)-2-(2-(2,4-dihydroxyphenyl)acetamido)succinamide,(S)-N-[5-[[3-[[4-[(3-Aminopropyl)amino]butyl]amino]propionyl]amino]pentyl]-2-[[(2,4-dihydroxyphenyl)acetyl]amino]succinamide,N-[5-[3-[4-(3-Aminopropylamino)butylamino]propionylamino]pentyl]-N??-(2,4-dihydroxyphenylacetyl)asparaginamide,lactoferrin,LF,",
1711,Lactoflavin,,0.07 g/L (20???),376.368,1.65g/cm3,C17H20N4O6,,"LactoflavineVitamin B2 (Riboflavine)Riboflavin Vitamin B2E 101Riboflavin (1.07609)RiboflavineVitamin B2 Feed GradeVitamin B_2Vitamin B2Riboflavin (VB2)1-deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)pentitol,5-deoxy-5-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)-D-ribitol,1-deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)-D-ribitol,VITAMIN G",
1712,Lactose,,,342.3,1.53,C12H22O11,,"AletobioseGalactinumlactose,anhydrous,OsmolactanSaccharum lactinsaccharumlactinLACTOBIOSED-Lactose Anhydrous",
1713,Lactoyl Phytosphingosine,,,,,,,,
1714,Lactulose,,76.4 g/100 mL (30???),342.3,1.69g/cm3,C12H22O11,,"(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydro-3-furanyl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxym??thyl)t??trahydro-3-furanyl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxym??thyl)t??trahydrofuran-3-yl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,4618-18-24-D-Galactopyranosyl-4-D-fructofuranose4-O-b-D-Galactosyl-D-fructose4-O-beta-delta-Galactopyranosyl-delta-fructose4-O-beta-D-Galactopyranosyl-beta-D-fructofuranose4-O-beta-D-galactopyranosyl-D-fructose",
1715,Lactulose,,76.4 g/100 mL (30???),342.3,1.69g/cm3,C12H22O11,,"(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydro-3-furanyl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxym??thyl)t??trahydro-3-furanyl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxym??thyl)t??trahydrofuran-3-yl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,4618-18-24-D-Galactopyranosyl-4-D-fructofuranose4-O-b-D-Galactosyl-D-fructose4-O-beta-delta-Galactopyranosyl-delta-fructose4-O-beta-D-Galactopyranosyl-beta-D-fructofuranose4-O-beta-D-galactopyranosyl-D-fructose",
1716,Lactulose,,76.4 g/100 mL (30???),342.3,1.69g/cm3,C12H22O11,,"(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydro-3-furanyl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxym??thyl)t??trahydro-3-furanyl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxym??thyl)t??trahydrofuran-3-yl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,4618-18-24-D-Galactopyranosyl-4-D-fructofuranose4-O-b-D-Galactosyl-D-fructose4-O-beta-delta-Galactopyranosyl-delta-fructose4-O-beta-D-Galactopyranosyl-beta-D-fructofuranose4-O-beta-D-galactopyranosyl-D-fructose",
1717,Lactulose,,76.4 g/100 mL (30???),342.3,1.69g/cm3,C12H22O11,,"(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydro-3-furanyl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxym??thyl)t??trahydro-3-furanyl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxym??thyl)t??trahydrofuran-3-yl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,4618-18-24-D-Galactopyranosyl-4-D-fructofuranose4-O-b-D-Galactosyl-D-fructose4-O-beta-delta-Galactopyranosyl-delta-fructose4-O-beta-D-Galactopyranosyl-beta-D-fructofuranose4-O-beta-D-galactopyranosyl-D-fructose",
1718,Lactulose,,76.4 g/100 mL (30???),342.3,1.69g/cm3,C12H22O11,,"(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydro-3-furanyl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxym??thyl)t??trahydro-3-furanyl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxym??thyl)t??trahydrofuran-3-yl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,4618-18-24-D-Galactopyranosyl-4-D-fructofuranose4-O-b-D-Galactosyl-D-fructose4-O-beta-delta-Galactopyranosyl-delta-fructose4-O-beta-D-Galactopyranosyl-beta-D-fructofuranose4-O-beta-D-galactopyranosyl-D-fructose",
1719,Lactulose,,76.4 g/100 mL (30???),342.3,1.69g/cm3,C12H22O11,,"(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydro-3-furanyl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxym??thyl)t??trahydro-3-furanyl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol,(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxym??thyl)t??trahydrofuran-3-yl]oxy}-6-(hydroxym??thyl)t??trahydro-2H-pyran-3,4,5-triol,4618-18-24-D-Galactopyranosyl-4-D-fructofuranose4-O-b-D-Galactosyl-D-fructose4-O-beta-delta-Galactopyranosyl-delta-fructose4-O-beta-D-Galactopyranosyl-beta-D-fructofuranose4-O-beta-D-galactopyranosyl-D-fructose",
1720,Laneth-9 Acetate,,,,,,,,
1721,Laneth-10 Acetate,,,,,,,,
1722,Lanolin,,,,,,,"Lanolin AnhydrousDegrasDegras, neutral,Lanolin, hydrous,Wool greaseWool wax",
1723,Lanosterol,,,426.72,0.9600 (rough estimate),C30H50O,,"Lanosterol (Isocholesterol)(3-beta)-lanosta-24-dien-3-ol(3-beta)-lanosta-8,24-dien-3-ol,lanosta-8,24-dien-3-beta-ol,Lanosta-8,24-dien-3beta-ol,Lanosta-8,24-dien-3-ol,Lanosta-8,24-dien-3-ol, (3beta)-,Lanosta-8,24-dienol,",
1724,Lapyrium Chloride,,,,,,,,
1725,Lard Glyceride,,,,,,,,
1726,Lauralkonium Bromide,,,384.44,,C21H38NBr,,"Benzenemethanaminium, N-dodecyl-N,N-dimethyl-, bromide,DDBABBenzyl Dimethyl Dodecyl Ammoniuammonylbr1244bacforblBenzalkonlumbromideBenzenemethanaminium,N-dodecyl-N,N-dimethyl-,bromide,benzyldodecyldimethyl-ammoniubromidebromekdwumetylolaurylobenzyloamoniowyBromo-Geraminedimethyllaurylbenzeneammoniumbromiden-dodecyl-n,n-dimethyl-benzenemethanaminiubromide,N-Dodecyl-N,N-dimethylbenzenemethanaminiumbromide,N-Dodecyl-N,N-dimethylbe,zylaminoniumbromidesinnoquatbl80sinnoquatbl95sterinolBENZALKONIUM BROMIDEBENZODODECINIUM BROMIDEBENZYLDIMETHYLDODECYLAMMONIUBROMIDEBENZYLDODECYLDIMETHYLAMMONIUM BROMIDEDimethyl benzyl lauryl ammonium bromideDodecyl-N,N-dimethylbenzenemethanaminium bromide,LAURALKONIUM BROMIDEAMMONIUM,BENZYLDODECYLDIMETHYL-BROMIDE,LAURYLDIMETHYLBENZYLAMMONIUMBROMIDEN-benzyl-N,N-dimethyldodecan-1-aminium bromide,Bromo Geramine",
1727,Lauralkonium Chloride,,,,,,,,
1728,Lauramide,,,199.33,0.876g/cm3,C12H25NO,,Amide KKDiamide YDodecamideDodecanoylamideDodecylamideLanriamideLauric amideLauroicacidamiden-dodecanamideLAUROYLAMIDELAURYLAMIDELAURAMIDEDODECANAMIDEdodecanoic acid amide,
1729,Lauramide Dea,,,,,,,,
1730,Lauramide Mea,,,,,,,,
1731,Lauramide Mipa,,,,,,,,
1732,Lauramidopropyl Acetamidodimonium Chloride,,,,,,,,
1733,Lauramidopropyl Betaine,,,,,,,,
1734,Lauramidopropyl Betaine,,,,,,,,
1735,Lauramidopropyl Dimethylamine,,,,,,,,
1736,Lauramidopropyl Dimethylamine Propionate,,,,,,,,
1737,Lauramidopropyl Pg-Dimonium Chloride,,,,,,,,
1738,Lauramine,,,,,,,,
1739,Lauramine Oxide,,,,,,,,
1740,Lauraminopropionic Acid,,,,,,,,
1741,Laureth-1,,,,,,,,
1742,Laureth-2,,,,,,,,
1743,Laureth-2 Acetate,,,,,,,,
1744,Laureth-2 Benzoate,,,,,,,,
1745,Laureth-2 Ethylhexanoate,,,,,,,,
1746,Laureth-3,,,,,,,,
1747,Laureth-3 Carboxylic Acid,,,,,,,,
1748,Laureth-4 Phosphate,,,,,,,,
1749,Laureth-5,,,,,,,,
1750,Laureth-5 Carboxylic Acid,,,,,,,,
1751,Laureth-6,,,,,,,,
1752,Laureth-7,,,,,,,,
1753,Laureth-7 Phosphate,,,,,,,,
1754,Laureth-8 Phosphate,,,,,,,,
1755,Laureth-9,,,,,,,,
1756,Laureth-10 Carboxylic Acid,,,,,,,,
1757,Laureth-11,,,,,,,,
1758,Laureth-11 Carboxylic Acid,,,,,,,,
1759,Laureth-12,,,,,,,,
1760,Laureth-23,,,,,,,,
1761,Lauric Acid,,,287.44,0.981g/cm3,C16H33NO3,,Lauric Acid Diethanolamide,
1762,Lauroyl Glutamic Acid,,,329.43,,C17H31NO5,,,
1763,Lauroyl Lactylic Acid,,,,,,,,
1764,Lauroyl Lysine,,,,,,,,
1765,Lauroyl Lysine,,,,,,,,
1766,Lauroyl Methyl Alanine,,,,,,,,
1767,Lauroyl Pg-Trimonium Chloride,,,,,,,,
1768,Lauroyl Sarcosine,,,,,,,,
1769,Laurtrimonium Bromide,,soluble,308.34,,C15H34BrN,,"Dodecyl Trimethyl Ammonium BromideDTABDodecyl Trimethyl Amonium Bromide1-Dodecanaminium,N,N,N-trimethyl-,bromide ammonium,dodecyltrimethyl-,bromide,Dodecayltrimethylaminiumbromidedodecyltrimethyl-ammoniubromidee8013n,n,n-trimethyl-1-dodecanaminiubromide,n,n,n-trimethyl-1-dodecanaminiubromidentis**ots0545456,N-lauryl-N,N,N-trimethylammoniumbromide,trimethyldodecylammoniumbromidetrimethyllaurylammoniumbromideDODECYLTRIMETHYLAMMONIUM BROMIDEN-DODECYL TRIMETHYLAMMONIUM BROMIDELAURTRIMONIUM BROMIDE(1-Dodecyl)trimethylammonium bromide",
1770,Laurtrimonium Chloride,,,,,,,,
